Банк	Лицензия	ликвдата	причина	статус	хреф
Инновационно-Промышленный Коммерческий Банк	2835	12.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=179269
Липецккредит	1283	12.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=179271
Мотовилихинский Коммерческий Банк	877	12.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=179274
Орсксельхозбанк	871	12.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=179276
Ростовсоцбанк	483	12.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=179278
Сибирский Казачий Банк	3082	12.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=179280
Соцстрахбанк	1413	12.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=179283
Усть-Кокса	1127	12.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=179285
Элистинский Городской Банк	2985	12.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=179287
Казначейский	506	04.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России.</dd>]"	отозв.	/banks/memory/bank/?id=207535
Чурапчинский	1261	04.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России.</dd>]"	отозв.	/banks/memory/bank/?id=207537
Биробиджанкредитпромбанк	1011	04.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России.</dd>]"	отозв.	/banks/memory/bank/?id=207539
Дальневосточный Социальный Коммерческий Банк	2322	04.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением Дальневосточным Социальным Коммерческим Банком (ДВСКбанк)федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России.</dd>]"	отозв.	/banks/memory/bank/?id=207541
Иманат	3159	04.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России.</dd>]"	отозв.	/banks/memory/bank/?id=207545
Имамат	2155	04.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России.</dd>]"	отозв.	/banks/memory/bank/?id=207548
Атяшевский	1149	04.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России.</dd>]"	отозв.	/banks/memory/bank/?id=207550
Токобанк	195	01.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=203552
Иргизинвестбанк	1619	27.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=74646
Мотом-Банк	1985	27.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=186805
НЭПП-Банк	2045	27.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=186809
Октябрьский	1176	27.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=186811
Сибсевербанк	2432	27.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=186815
Приазовье	476	27.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=186817
Каневский	499	27.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=75240
НОРСИбанк	2323	25.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=74574
Коопторгбанк	2229	25.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.</dd>]"	отозв.	/banks/memory/bank/?id=180046
Химкинский Коммерческий Банк	1753	25.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установление фактов недостоверности отчетных данных, задержка представления ежемесячной отчетности.</dd>]"	отозв.	/banks/memory/bank/?id=180048
Томь	703	15.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных и неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=210575
Брянсккредитбанк	1162	15.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных и неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=210577
Магриб-Банк	2637	15.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных и неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=210581
Волгофондбанк	2486	07.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных и неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=187529
Тарки-Тау	2100	07.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных и неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=187531
Южно-Донской Коммерческий Банк	541	07.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных и неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=187533
Карсунский Коммерческий Банк	614	07.08.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных и неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=75242
Северный Нефтяной Банк	1954	31.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением своих обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=74521
Топливный Банк	2511	31.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением своих обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=177520
Прогресспромбанк	1371	31.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением своих обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=177522
Полюс-Банк	141	31.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением своих обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=177526
Подмосковье	1451	31.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением своих обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=177528
Муромец	974	31.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением своих обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=177530
Вишера-Банк	2662	31.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением своих обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=177532
Веда	2028	31.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением своих обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=177534
Поярково	923	31.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением своих обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=144355
Ошхамахо	1769	25.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую
деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=247144
Кавказский Биржевой Банк	1895	25.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую
деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=247147
Ямало-Ненецкий Социальный Коммерческий Банк	2698	25.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую
деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=247149
Медкомбанк	2260	16.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=216192
Первый Торговый Банк	2354	16.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=216196
Висавия	2986	16.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=216200
Барн	2635	16.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=216203
ИнжинирингбанкЪ	1974	16.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=216205
Волгодонскцентркомбанк	1302	16.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=216209
Кредитный Союз	2621	16.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=216212
Сибирский Частно-Коммерческий Банк	2115	15.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с задержкой начала деятельности банка более чем на один год с даты выдачи ему лицензии.</dd>]"	отозв.	/banks/memory/bank/?id=248507
Проминвест	1311	02.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, а также неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=243540
Статус Банк	1727	02.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, а также неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=243542
Геос	2875	02.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных, а также неудовлетворительным финансовым положением.</dd>]"	отозв.	/banks/memory/bank/?id=243545
Евроазиябанк	374	25.06.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также недостоверностью отчетных данных.</dd>]"	отозв.	/banks/memory/bank/?id=204175
Московский Национальный Банк	2255	22.06.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением АКБ «Московский национальный банк» (Моснацбанк) требований
федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов недостоверности отчетных данных. В марте 1998 года в банк была назначена временная администрация, однако спустя три месяца ее полномочия были прекращены «в связи с невозможностью осуществления мероприятий по финансовому оздоровлению банка».</dd>]"	отозв.	/banks/memory/bank/?id=248848
Дальместбанк	2978	18.06.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным
финансовым положением, неисполнением обязательств перед вкладчиками и
кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=104278
Симинвестбанк	2386	18.06.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным
финансовым положением, неисполнением обязательств перед вкладчиками и
кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=191425
Кредит Синтез Банк	2700	18.06.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным
финансовым положением, неисполнением обязательств перед вкладчиками и
кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=191427
Нарва	2941	11.06.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=187564
Нанс	669	11.06.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением Новоаннинским коммерческим фермерским банком «Нанс» требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=187566
Шахунский Коммерческий Банк	1188	11.06.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=75263
Народный Банк России	2805	05.06.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=144477
Сибмашнефтебанк	2904	05.06.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=187570
Фидес-Банк	3018	05.06.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=75259
Оренбуржье	1807	28.05.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=141860
Асикомбанк	1604	28.05.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=76399
Созидание	2828	28.05.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=188302
Курскбизнесбанк	3066	28.05.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=188305
Северный Морской Банк	1748	28.05.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=188308
Череповецкомбанк	934	28.05.1998	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком требований федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неудовлетворительным финансовым положением, неисполнением обязательств перед вкладчиками и кредиторами.</dd>]"	отозв.	/banks/memory/bank/?id=188312
