Уникальные банки
Традо-Банк лицензия № 1065, Москва и обл.
БКС (БКС Премьер) лицензия № 101, Новосибирская обл.
Эно лицензия № 1988, Краснодарский край
Владбизнесбанк лицензия № 903, Владимирская обл.
Донской Народный Банк лицензия № 2126, Ростовская обл.
Бенифит-Банк лицензия № 3229, Москва и обл.
Солид Банк лицензия № 1329, Приморский край
Югра лицензия № 880, Тюменская обл.
Кетовский Коммерческий Банк лицензия № 842, Курганская обл.
Линк-Банк лицензия № 2699, Москва и обл.
КИТ Финанс Инвестиционный Банк лицензия № 1911, Санкт-Петербург и обл.
Городской Ипотечный Банк лицензия № 1627, Москва и обл.
Приобье лицензия № 537, Ханты-Мансийский АО — Югра
РусьРегионБанк лицензия № 685, Москва и обл.
Сетевая Расчетная Палата лицензия № 3332, Татарстан
Рублевский лицензия № 2192, Москва и обл.
Райффайзенбанк лицензия № 3292, Москва и обл.
Газтрансбанк лицензия № 665, Адыгея
Нефтяной Альянс лицензия № 2859, Москва и обл.
АББ лицензия № 2937, Москва и обл.
Транснациональный Банк лицензия № 2108, Москва и обл.
Москва-Сити лицензия № 3247, Москва и обл.
Уральский Трастовый Банк лицензия № 2523, Удмуртия
2Т Банк лицензия № 625, Москва и обл.
Смартбанк лицензия № 3408, Москва и обл.
Московский Клиринговый Центр лицензия № 3314, Москва и обл.
Лэнд-Банк лицензия № 1478, Москва и обл.
Капитал лицензия № 575, Москва и обл.
Московское Ипотечное Агентство лицензия № 3344, Москва и обл.
Байкалкредобанк лицензия № 2990, Иркутская обл.
Хоум-Банк лицензия № 2397, Москва и обл.
Ринвестбанк лицензия № 3262, Рязанская обл.
Трансинвестбанк лицензия № 3238, Москва и обл.
ВостСибтранскомбанк лицензия № 2731, Иркутская обл.
НКБ лицензия № 2942, Москва и обл.
Балаково-Банк лицензия № 444, Саратовская обл.
7
Банк Экономический Союз лицензия № 2798, Москва и обл.
Профессионал Банк лицензия № 2471, Москва и обл.
Местный Кредит лицензия № 3370, Москва и обл.
Веста лицензия № 2368, Москва и обл.
Холмск лицензия № 503, Сахалинская обл.
Олма-Банк лицензия № 3250, Москва и обл.
РНКБ лицензия № 1354, Симферополь
Московский Нефтехимический Банк лицензия № 1411, Москва и обл.
Викинг лицензия № 2, Санкт-Петербург и обл.
Владпромбанк лицензия № 870, Владимирская обл.
Международный Акционерный Банк лицензия № 1987, Москва и обл.
Инвесткапиталбанк лицензия № 2377, Башкортостан
Татагропромбанк лицензия № 728, Татарстан
Система лицензия № 2846, Москва и обл.
СМП Банк лицензия № 3368, Москва и обл.
Церих лицензия № 2627, Москва и обл.
Ханты-Мансийский банк Открытие лицензия № 1971, Ханты-Мансийский АО — Югра
Борский Коммерческий Банк лицензия № 1303, Нижегородская обл.
Ури Банк лицензия № 3479, Москва и обл.
СБ Банк (Судостроительный банк) лицензия № 2999, Москва и обл.
Тайм Банк лицензия № 3120, Москва и обл.
АМБ Банк лицензия № 3036, Москва и обл.
Первый Депозитный Банк лицензия № 1244, Москва и обл.
Новобанк лицензия № 1352, Новгородская обл.
Вест лицензия № 2605, Москва и обл.
БФГ-Кредит лицензия № 3068, Москва и обл.
Махачкалинский Городской Муниципальный Банк лицензия № 3192, Дагестан
Фреско Банк лицензия № 1415, Москва и обл.
Северная Клиринговая Палата лицензия № 3317, Архангельская обл.
Холдинвестбанк лицензия № 2837, Москва и обл.
Симбирск лицензия № 653, Ульяновская обл.
Идеалбанк лицензия № 3491, Москва и обл.
Денизбанк Москва лицензия № 3330, Москва и обл.
6
Бест Эффортс Банк лицензия № 435, Москва и обл.
Почта Банк лицензия № 650, Брянская обл.
Яринтербанк лицензия № 2564, Ярославская обл.
Ратибор-Банк лицензия № 2174, Москва и обл.
Сити Инвест Банк лицензия № 3194, Санкт-Петербург и обл.
Военно-Промышленный Банк лицензия № 3065, Москва и обл.
Мастер-Банк лицензия № 2176, Москва и обл.
Уралтрансбанк лицензия № 812, Свердловская обл.
Фининвест лицензия № 671, Санкт-Петербург и обл.
Северо-Восточный Альянс лицензия № 2768, Москва и обл.
Евросоюз лицензия № 3411, Москва и обл.
Далта-Банк лицензия № 142, Приморский край
